                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.71224,                 2.8663,                 1.1898,                0.00305,                      1,                 0.2881,                0.24632,                0.53174,                 3.0359,                 1.1592,               0.070577,              0.0032692,              0.0032692
                      1,                 0.7549,                 2.1213,                 1.1606,                0.36804,                 0.5873,                0.49029,                0.41334,                0.71625,                  2.483,                 1.3528,                0.04025,              0.0062757,              0.0062757
                      2,                0.74614,                 1.6102,                 1.1332,                0.72263,                0.59901,                0.88558,                0.66915,                0.79995,                 2.2974,                 1.3136,              0.0095933,              0.0089522,              0.0089522
                      3,                0.75282,                 1.3906,                 1.1287,                0.71991,                0.96667,                0.93705,                0.82404,                0.60278,                 1.7107,                 1.1588,               0.008515,               0.008515,               0.008515
                      4,                0.74285,                  1.224,                 1.1283,                0.92748,                0.87551,                 0.9797,                0.86158,                0.56036,                 1.4251,                 1.1216,               0.008515,               0.008515,               0.008515
                      5,                0.74365,                 1.1146,                 1.1089,                0.92503,                0.99195,                 0.9784,                 0.8472,                0.61577,                 1.2667,                 1.1511,                0.00802,                0.00802,                0.00802
                      6,                0.72474,                 1.0628,                 1.1035,                0.93455,                0.94777,                0.99332,                0.88949,                0.51361,                 1.1681,                 1.0713,               0.007525,               0.007525,               0.007525
                      7,                0.68701,                0.99377,                 1.0941,                0.89435,                0.94201,                0.97577,                 0.8869,                0.51604,                 1.1963,                 1.0784,                0.00703,                0.00703,                0.00703
                      8,                0.67683,                0.95242,                 1.0761,                0.95798,                 0.9548,                0.96843,                0.88193,                0.49278,                 1.1235,                 1.0567,               0.006535,               0.006535,               0.006535
                      9,                0.70297,                0.90849,                 1.0932,                0.94656,                0.99445,                0.98858,                0.88488,                0.55857,                0.96912,                 1.0957,                0.00604,                0.00604,                0.00604
                     10,                0.65308,                0.84315,                 1.0532,                0.96955,                 0.9971,                0.98742,                0.88531,                0.52512,                0.87643,                 1.0842,               0.005545,               0.005545,               0.005545
                     11,                0.63803,                0.81087,                 1.0589,                0.97532,                      1,                0.98689,                0.89855,                0.50364,                0.82417,                 1.0701,                0.00505,                0.00505,                0.00505
                     12,                0.63301,                0.80702,                 1.0702,                0.96809,                      1,                0.99153,                0.88859,                0.54132,                0.85019,                 1.0793,               0.004555,               0.004555,               0.004555
                     13,                0.60404,                0.75563,                 1.0486,                0.96473,                0.99484,                  0.991,                0.90089,                0.47866,                0.79773,                 1.0326,                0.00406,                0.00406,                0.00406
                     14,                 0.5836,                0.75086,                 1.0408,                0.97424,                      1,                  0.995,                0.91005,                 0.4805,                0.77389,                 1.0285,               0.003565,               0.003565,               0.003565
                     15,                0.57405,                0.72996,                 1.0335,                0.97914,                      1,                  0.991,                0.88999,                0.50947,                0.77397,                 1.0574,                0.00307,                0.00307,                0.00307
                     16,                0.57366,                0.69942,                   1.04,                0.97746,                      1,                0.99384,                0.90118,                0.48482,                0.73284,                 1.0545,               0.002575,               0.002575,               0.002575
                     17,                0.55417,                0.67634,                 1.0286,                0.97827,                      1,                0.99447,                0.91086,                0.46822,                0.70969,                 1.0316,                0.00208,                0.00208,                0.00208
                     18,                0.55565,                0.65606,                  1.032,                0.97953,                      1,                0.99447,                0.92043,                0.48165,                 0.7078,                 1.0338,               0.001585,               0.001585,               0.001585
                     19,                0.51515,                0.61617,                 1.0151,                0.97975,                      1,                0.99447,                 0.9235,                0.45423,                0.68184,                 1.0139,                0.00109,                0.00109,                0.00109
